ins_name,Phirea_time
data/TSP/RUE/700.tsp,0.025
data/TSP/RUE/701.tsp,0.04
data/TSP/RUE/702.tsp,0.051
data/TSP/RUE/703.tsp,0.055
data/TSP/RUE/704.tsp,0.103
data/TSP/RUE/705.tsp,0.033
data/TSP/RUE/706.tsp,0.059
data/TSP/RUE/707.tsp,0.084
data/TSP/RUE/708.tsp,0.038
data/TSP/RUE/709.tsp,0.105
data/TSP/RUE/71.tsp,0.062
data/TSP/RUE/710.tsp,0.112
data/TSP/RUE/711.tsp,0.068
data/TSP/RUE/712.tsp,0.129
data/TSP/RUE/713.tsp,0.055
data/TSP/RUE/714.tsp,0.072
data/TSP/RUE/715.tsp,0.037
data/TSP/RUE/716.tsp,0.089
data/TSP/RUE/717.tsp,0.087
data/TSP/RUE/718.tsp,0.09
data/TSP/RUE/719.tsp,0.045
data/TSP/RUE/72.tsp,0.04
data/TSP/RUE/720.tsp,0.062
data/TSP/RUE/721.tsp,0.032
data/TSP/RUE/722.tsp,0.061
data/TSP/RUE/723.tsp,0.073
data/TSP/RUE/724.tsp,0.024
